okrsek,volici,platne_hlasy,SPOLU_hlasy,SPOLU_pct,Pirati_hlasy,Pirati_pct,DOHROMADY_hlasy,DOHROMADY_pct
1,667,7004,1082,15.45,277,3.95,1359,19.4
2,661,7320,699,9.55,205,2.8,904,12.35
3,2530,10077,1146,11.37,506,5.02,1652,16.39
4,750,8888,907,10.2,442,4.97,1349,15.17
5,736,10088,1053,10.44,1209,11.98,2262,22.42
6,614,8009,1190,14.86,188,2.35,1378,17.21
7,722,8285,1127,13.6,306,3.69,1433,17.29
8,495,5046,576,11.41,502,9.95,1078,21.36
9,682,7703,870,11.29,436,5.66,1306,16.95
10,696,8042,459,5.71,294,3.66,753,9.37
11,799,10431,1439,13.8,567,5.44,2006,19.24
12,659,9094,936,10.29,476,5.23,1412,15.52
13,576,8045,772,9.6,235,2.92,1007,12.52
14,410,5680,921,16.21,146,2.57,1067,18.78
15,698,7794,796,10.21,525,6.74,1321,16.95
16,607,6672,665,9.97,303,4.54,968,14.51
17,745,9691,1919,19.8,330,3.41,2249,23.21
18,692,9303,943,10.14,665,7.15,1608,17.29
19,376,5948,1757,29.54,329,5.53,2086,35.07
20,792,12417,1202,9.68,707,5.69,1909,15.37
21,710,8416,1062,12.62,753,8.95,1815,21.57
22,814,7825,824,10.53,185,2.36,1009,12.89
23,624,7106,513,7.22,583,8.2,1096,15.42
24,683,8080,703,8.7,275,3.4,978,12.1
25,583,7998,730,9.13,354,4.43,1084,13.56
26,587,6617,799,12.07,318,4.81,1117,16.88
27,786,12013,2232,18.58,460,3.83,2692,22.41
28,694,8596,1063,12.37,296,3.44,1359,15.81
29,765,11453,1004,8.77,577,5.04,1581,13.81
30,760,9975,1290,12.93,547,5.48,1837,18.41
31,584,9732,1151,11.83,660,6.78,1811,18.61
32,798,13719,1157,8.43,608,4.43,1765,12.86
33,650,9691,1045,10.78,288,2.97,1333,13.75
34,741,12244,1957,15.98,843,6.89,2800,22.87
35,839,14558,2853,19.6,877,6.02,3730,25.62
36,814,14564,2544,17.47,519,3.56,3063,21.03
37,646,11550,3095,26.8,915,7.92,4010,34.72
38,790,15227,2968,19.49,605,3.97,3573,23.46
39,613,11639,1593,13.69,471,4.05,2064,17.74
40,619,12088,969,8.02,529,4.38,1498,12.4
41,698,9878,1312,13.28,403,4.08,1715,17.36
42,641,8936,468,5.24,248,2.78,716,8.02
43,541,8926,1166,13.06,387,4.34,1553,17.4
44,735,13168,1995,15.15,756,5.74,2751,20.89
45,659,10298,1663,16.15,468,4.54,2131,20.69
46,697,11131,1478,13.28,290,2.61,1768,15.89
47,627,10106,1414,13.99,552,5.46,1966,19.45
48,568,10167,1838,18.08,284,2.79,2122,20.87
49,704,12636,1601,12.67,424,3.36,2025,16.03
50,690,11932,1688,14.15,645,5.41,2333,19.56
51,743,12906,1883,14.59,541,4.19,2424,18.78
52,710,10756,1493,13.88,447,4.16,1940,18.04
53,720,12158,1485,12.21,582,4.79,2067,17.0
54,729,13298,1939,14.58,268,2.02,2207,16.6
55,719,13456,1561,11.6,1033,7.68,2594,19.28
56,806,5285,440,8.33,233,4.41,673,12.74
57,490,1248,43,3.45,0,0.0,43,3.45
58,597,5547,404,7.28,15,0.27,419,7.55
59,451,863,46,5.33,43,4.98,89,10.31
60,533,1554,0,0.0,15,0.97,15,0.97
61,917,11162,1323,11.85,274,2.45,1597,14.3
62,851,10129,676,6.67,418,4.13,1094,10.8
63,806,9031,301,3.33,667,7.39,968,10.72
64,652,7396,751,10.15,67,0.91,818,11.06
65,746,9605,542,5.64,140,1.46,682,7.1
66,943,15032,2272,15.11,627,4.17,2899,19.28
67,976,11909,1329,11.16,662,5.56,1991,16.72
68,766,11028,1361,12.34,289,2.62,1650,14.96
69,643,8810,537,6.1,222,2.52,759,8.62
70,1082,10988,885,8.05,485,4.41,1370,12.46
71,818,9606,1081,11.25,267,2.78,1348,14.03
72,1042,12297,1405,11.43,906,7.37,2311,18.8
73,980,9677,1365,14.11,479,4.95,1844,19.06
74,776,11266,1935,17.18,293,2.6,2228,19.78
75,1066,18319,3012,16.44,744,4.06,3756,20.5
76,764,11046,1604,14.52,457,4.14,2061,18.66
77,771,13571,3735,27.52,635,4.68,4370,32.2
78,1121,26470,3323,12.55,550,2.08,3873,14.63
79,491,10155,1812,17.84,882,8.69,2694,26.53
