okrsek,volici,platne_hlasy,SPOLU_hlasy,SPOLU_pct,Pirati_hlasy,Pirati_pct,STAN_hlasy,STAN_pct,DOHROMADY_hlasy,DOHROMADY_pct
1,727,396,50,12.63,29,7.32,23,5.81,102,25.76
2,2585,598,45,7.53,44,7.36,26,4.35,115,19.23
3,1063,595,74,12.44,36,6.05,28,4.71,138,23.19
4,746,417,56,13.43,27,6.47,33,7.91,116,27.82
5,751,402,42,10.45,23,5.72,27,6.72,92,22.89
6,914,485,65,13.4,29,5.98,24,4.95,118,24.33
7,1023,562,58,10.32,38,6.76,29,5.16,125,22.24
8,1012,602,89,14.78,48,7.97,45,7.48,182,30.23
9,975,599,58,9.68,34,5.68,21,3.51,113,18.86
10,1059,617,70,11.35,51,8.27,37,6.0,158,25.61
11,864,474,44,9.28,24,5.06,19,4.01,87,18.35
12,641,363,56,15.43,21,5.79,14,3.86,91,25.07
13,605,355,51,14.37,29,8.17,9,2.54,89,25.07
14,410,327,100,30.58,22,6.73,27,8.26,149,45.57
15,962,597,70,11.73,49,8.21,32,5.36,151,25.29
16,1011,555,50,9.01,23,4.14,19,3.42,92,16.58
17,782,407,52,12.78,21,5.16,19,4.67,92,22.6
18,867,498,46,9.24,25,5.02,20,4.02,91,18.27
19,891,564,54,9.57,31,5.5,40,7.09,125,22.16
20,807,505,75,14.85,35,6.93,36,7.13,146,28.91
21,759,475,67,14.11,27,5.68,26,5.47,120,25.26
22,959,607,70,11.53,49,8.07,43,7.08,162,26.69
23,971,635,64,10.08,29,4.57,51,8.03,144,22.68
24,933,624,74,11.86,44,7.05,32,5.13,150,24.04
25,993,637,84,13.19,33,5.18,45,7.06,162,25.43
26,892,624,132,21.15,44,7.05,44,7.05,220,35.26
27,779,598,111,18.56,47,7.86,42,7.02,200,33.44
28,661,492,117,23.78,54,10.98,49,9.96,220,44.72
29,793,569,129,22.67,39,6.85,46,8.08,214,37.61
30,850,602,96,15.95,31,5.15,33,5.48,160,26.58
31,669,446,61,13.68,22,4.93,38,8.52,121,27.13
32,925,580,66,11.38,33,5.69,41,7.07,140,24.14
33,903,587,100,17.04,30,5.11,47,8.01,177,30.15
34,950,602,91,15.12,49,8.14,43,7.14,183,30.4
35,916,603,92,15.26,24,3.98,44,7.3,160,26.53
36,930,630,80,12.7,32,5.08,47,7.46,159,25.24
37,833,539,87,16.14,40,7.42,34,6.31,161,29.87
38,886,631,95,15.06,36,5.71,41,6.5,172,27.26
39,724,504,90,17.86,40,7.94,41,8.13,171,33.93
40,958,681,100,14.68,49,7.2,40,5.87,189,27.75
41,688,476,70,14.71,35,7.35,26,5.46,131,27.52
42,705,473,80,16.91,48,10.15,36,7.61,164,34.67
43,1165,387,29,7.49,11,2.84,13,3.36,53,13.7
44,881,350,28,8.0,9,2.57,11,3.14,48,13.71
45,786,162,3,1.85,4,2.47,3,1.85,10,6.17
46,698,422,55,13.03,23,5.45,34,8.06,112,26.54
47,897,468,39,8.33,16,3.42,11,2.35,66,14.1
48,1010,575,49,8.52,32,5.57,23,4.0,104,18.09
49,1004,628,55,8.76,26,4.14,29,4.62,110,17.52
50,898,540,84,15.56,39,7.22,30,5.56,153,28.33
51,1180,791,118,14.92,35,4.42,52,6.57,205,25.92
52,1082,671,74,11.03,29,4.32,38,5.66,141,21.01
53,974,529,40,7.56,24,4.54,28,5.29,92,17.39
54,927,543,40,7.37,30,5.52,18,3.31,88,16.21
55,1063,620,74,11.94,39,6.29,35,5.65,148,23.87
56,891,503,69,13.72,33,6.56,27,5.37,129,25.65
57,758,491,69,14.05,39,7.94,39,7.94,147,29.94
58,962,730,136,18.63,55,7.53,76,10.41,267,36.58
59,888,515,65,12.62,22,4.27,18,3.5,105,20.39
60,816,614,122,19.87,42,6.84,28,4.56,192,31.27
61,1165,884,219,24.77,66,7.47,81,9.16,366,41.4
62,498,387,89,23.0,29,7.49,37,9.56,155,40.05
