okrsek,volici,platne_hlasy,SPOLU_hlasy,SPOLU_pct,Pirati_hlasy,Pirati_pct,STAN_hlasy,STAN_pct,DOHROMADY_hlasy,DOHROMADY_pct
1,3131,990,141,14.24,53,5.35,68,6.87,262,26.46
2,328,244,28,11.48,12,4.92,11,4.51,51,20.9
3,696,372,28,7.53,22,5.91,20,5.38,70,18.82
4,233,184,34,18.48,6,3.26,8,4.35,48,26.09
5,1015,661,57,8.62,33,4.99,34,5.14,124,18.76
6,967,715,100,13.99,46,6.43,55,7.69,201,28.11
7,1134,850,144,16.94,49,5.76,76,8.94,269,31.65
8,691,357,24,6.72,14,3.92,9,2.52,47,13.17
9,659,361,19,5.26,15,4.16,17,4.71,51,14.13
10,658,404,22,5.45,21,5.2,13,3.22,56,13.86
11,734,444,43,9.68,19,4.28,27,6.08,89,20.05
12,660,397,30,7.56,19,4.79,27,6.8,76,19.14
13,789,473,35,7.4,39,8.25,27,5.71,101,21.35
14,669,388,33,8.51,17,4.38,12,3.09,62,15.98
15,745,422,43,10.19,32,7.58,23,5.45,98,23.22
16,622,363,23,6.34,14,3.86,20,5.51,57,15.7
17,620,382,28,7.33,16,4.19,29,7.59,73,19.11
18,599,345,29,8.41,13,3.77,18,5.22,60,17.39
19,670,416,19,4.57,10,2.4,20,4.81,49,11.78
20,690,433,33,7.62,9,2.08,20,4.62,62,14.32
21,679,400,33,8.25,14,3.5,15,3.75,62,15.5
22,479,331,32,9.67,10,3.02,24,7.25,66,19.94
23,623,318,31,9.75,18,5.66,19,5.97,68,21.38
24,745,391,21,5.37,19,4.86,16,4.09,56,14.32
25,604,361,23,6.37,13,3.6,26,7.2,62,17.17
26,624,363,21,5.79,22,6.06,5,1.38,48,13.22
27,630,392,31,7.91,14,3.57,12,3.06,57,14.54
28,917,315,15,4.76,3,0.95,7,2.22,25,7.94
29,646,430,28,6.51,16,3.72,23,5.35,67,15.58
30,2128,544,22,4.04,18,3.31,12,2.21,52,9.56
31,806,615,102,16.59,29,4.72,40,6.5,171,27.8
32,950,627,64,10.21,28,4.47,36,5.74,128,20.41
33,613,350,17,4.86,7,2.0,7,2.0,31,8.86
34,438,297,30,10.1,12,4.04,8,2.69,50,16.84
35,568,329,39,11.85,12,3.65,12,3.65,63,19.15
36,687,388,20,5.15,20,5.15,15,3.87,55,14.18
37,655,444,42,9.46,13,2.93,19,4.28,74,16.67
38,662,344,16,4.65,19,5.52,10,2.91,45,13.08
39,560,274,17,6.2,10,3.65,15,5.47,42,15.33
40,726,455,27,5.93,21,4.62,19,4.18,67,14.73
41,655,373,45,12.06,11,2.95,21,5.63,77,20.64
42,644,431,42,9.74,21,4.87,30,6.96,93,21.58
43,632,396,44,11.11,24,6.06,23,5.81,91,22.98
44,581,395,35,8.86,17,4.3,22,5.57,74,18.73
45,632,349,22,6.3,21,6.02,19,5.44,62,17.77
46,536,320,22,6.88,12,3.75,16,5.0,50,15.62
47,1229,796,56,7.04,33,4.15,53,6.66,142,17.84
48,732,491,35,7.13,22,4.48,25,5.09,82,16.7
49,748,431,26,6.03,16,3.71,19,4.41,61,14.15
50,1100,683,54,7.91,28,4.1,45,6.59,127,18.59
51,808,497,35,7.04,20,4.02,25,5.03,80,16.1
52,910,696,113,16.24,47,6.75,67,9.63,227,32.61
