okrsek,volici,platne_hlasy,SPOLU_hlasy,SPOLU_pct,Pirati_hlasy,Pirati_pct,STAN_hlasy,STAN_pct,DOHROMADY_hlasy,DOHROMADY_pct
1,2818,11335,1447,12.77,303,2.81,185,1.63,1935,17.21
2,326,3030,521,17.19,25,0.87,100,3.3,646,21.36
3,307,5543,515,9.29,221,4.19,106,1.91,842,15.39
4,221,4254,822,19.32,140,3.46,53,1.25,1015,24.03
5,452,7221,506,7.01,295,4.29,13,0.18,814,11.48
6,983,20126,1887,9.38,769,4.02,312,1.55,2968,14.95
7,1116,20117,2084,10.36,616,3.22,307,1.53,3007,15.11
8,707,8257,129,1.56,29,0.37,0,0.0,158,1.93
9,690,7226,241,3.34,252,3.67,75,1.04,568,8.05
10,684,9005,303,3.36,241,2.81,22,0.24,566,6.41
11,727,9641,660,6.85,388,4.23,127,1.32,1175,12.4
12,600,8130,356,4.38,206,2.66,270,3.32,832,10.36
13,825,12609,636,5.04,782,6.52,78,0.62,1496,12.18
14,724,9303,479,5.15,289,3.27,431,4.63,1199,13.05
15,768,9083,470,5.17,467,5.41,225,2.48,1162,13.06
16,648,8417,394,4.68,155,1.94,93,1.1,642,7.72
17,638,10103,364,3.6,249,2.59,214,2.12,827,8.31
18,616,6380,403,6.32,133,2.19,42,0.66,578,9.17
19,706,9201,688,7.48,98,1.12,308,3.35,1094,11.95
20,757,10557,572,5.42,127,1.26,130,1.23,829,7.91
21,712,8934,256,2.87,355,4.18,145,1.62,756,8.67
22,512,9361,457,4.88,332,3.73,65,0.69,854,9.3
23,663,7053,661,9.37,362,5.4,91,1.29,1114,16.06
24,780,9535,315,3.3,172,1.9,99,1.04,586,6.24
25,608,9155,345,3.77,366,4.2,225,2.46,936,10.43
26,653,8576,184,2.15,356,4.36,175,2.04,715,8.55
27,641,10137,545,5.38,372,3.86,110,1.09,1027,10.33
28,592,4184,272,6.5,46,1.16,7,0.17,325,7.83
29,474,3964,49,1.24,121,3.21,48,1.21,218,5.66
30,705,5171,154,2.98,106,2.16,23,0.44,283,5.58
31,686,2433,210,8.63,2,0.09,3,0.12,215,8.84
32,972,2342,123,5.25,79,3.55,0,0.0,202,8.8
33,635,8416,252,2.99,284,3.55,126,1.5,662,8.04
34,438,7322,302,4.12,243,3.49,8,0.11,553,7.72
35,647,9711,859,8.85,266,2.88,182,1.87,1307,13.6
36,724,9326,540,5.79,363,4.09,64,0.69,967,10.57
37,675,10732,431,4.02,375,3.67,178,1.66,984,9.35
38,683,6926,212,3.06,181,2.75,169,2.44,562,8.25
39,630,7279,180,2.47,258,3.73,26,0.36,464,6.56
40,769,10682,277,2.59,354,3.48,204,1.91,835,7.98
41,664,8584,699,8.14,278,3.4,365,4.25,1342,15.79
42,673,10891,627,5.76,473,4.57,226,2.08,1326,12.41
43,667,10431,580,5.56,447,4.51,113,1.08,1140,11.15
44,623,10167,313,3.08,406,4.2,266,2.62,985,9.9
45,675,7455,331,4.44,141,1.99,14,0.19,486,6.62
46,576,8071,512,6.34,189,2.46,68,0.84,769,9.64
47,673,9071,406,4.48,339,3.93,186,2.05,931,10.46
48,784,13403,446,3.33,421,3.3,407,3.04,1274,9.67
49,780,12329,480,3.89,360,3.07,111,0.9,951,7.86
50,616,9467,510,5.39,336,3.73,199,2.1,1045,11.22
51,844,10385,588,5.66,515,5.21,308,2.97,1411,13.84
52,920,19650,2441,12.42,918,4.91,527,2.68,3886,20.01
53,690,10434,554,5.31,340,3.43,96,0.92,990,9.66
54,510,7481,578,7.73,58,0.82,179,2.39,815,10.94
55,1006,15140,649,4.29,291,2.02,227,1.5,1167,7.81
56,646,11381,886,7.78,453,4.18,275,2.42,1614,14.38
57,686,10521,391,3.72,95,0.95,131,1.25,617,5.92
58,675,10329,658,6.37,267,2.72,193,1.87,1118,10.96
59,698,8215,347,4.22,327,4.18,55,0.67,729,9.07
