okrsek,volici,platne_hlasy,KOAL_ZPTS_hlasy,KOAL_ZPTS_pct,ODS_hlasy,ODS_pct,KDU_hlasy,KDU_pct,DOHROMADY_hlasy,DOHROMADY_pct
1,778,7790,1297,16.65,821,10.54,465,5.97,2583,33.16
2,848,9713,1666,17.15,828,8.52,642,6.61,3136,32.28
3,585,6297,935,14.85,674,10.7,218,3.46,1827,29.01
4,1047,12682,2761,21.77,1404,11.07,795,6.27,4960,39.11
5,672,6774,1232,18.19,583,8.61,501,7.4,2316,34.2
6,693,8162,2117,25.94,852,10.44,558,6.84,3527,43.22
7,847,13130,2073,15.79,2232,17.0,853,6.5,5158,39.29
8,982,13808,2705,19.59,2033,14.72,1003,7.26,5741,41.57
9,1002,11946,1561,13.07,988,8.27,765,6.4,3314,27.74
10,1639,6548,1227,18.74,726,11.09,584,8.92,2537,38.75
11,929,9417,1492,15.84,1094,11.62,752,7.99,3338,35.45
12,1054,10685,1449,13.56,1222,11.44,1264,11.83,3935,36.83
13,897,9787,2096,21.42,955,9.76,464,4.74,3515,35.92
14,766,8199,724,8.83,1073,13.09,370,4.51,2167,26.43
15,829,8377,1002,11.96,825,9.85,566,6.76,2393,28.57
16,796,7275,792,10.89,738,10.14,296,4.07,1826,25.1
17,322,4284,589,13.75,310,7.24,247,5.77,1146,26.76
18,154,2360,531,22.5,198,8.39,218,9.24,947,40.13
19,1145,11604,1462,12.6,1447,12.47,931,8.02,3840,33.09
20,1085,8959,1521,16.98,697,7.78,478,5.34,2696,30.1
21,403,5743,641,11.16,549,9.56,626,10.9,1816,31.62
22,1027,11919,1903,15.97,1471,12.34,1348,11.31,4722,39.62
