okrsek,volici,platne_hlasy,SPOLU_hlasy,SPOLU_pct,Pirati_hlasy,Pirati_pct,STAN_hlasy,STAN_pct,DOHROMADY_hlasy,DOHROMADY_pct
1,754,507,101,19.92,57,11.24,44,8.68,202,39.84
2,832,563,96,17.05,42,7.46,55,9.77,193,34.28
3,556,382,62,16.23,27,7.07,30,7.85,119,31.15
4,987,674,153,22.7,75,11.13,61,9.05,289,42.88
5,645,383,60,15.67,31,8.09,32,8.36,123,32.11
6,731,523,122,23.33,60,11.47,38,7.27,220,42.07
7,839,642,202,31.46,60,9.35,52,8.1,314,48.91
8,952,707,198,28.01,71,10.04,69,9.76,338,47.81
9,983,706,129,18.27,54,7.65,46,6.52,229,32.44
10,1550,457,81,17.72,54,11.82,25,5.47,160,35.01
11,879,518,90,17.37,51,9.85,45,8.69,186,35.91
12,1038,653,141,21.59,49,7.5,53,8.12,243,37.21
13,863,548,109,19.89,61,11.13,50,9.12,220,40.15
14,743,498,73,14.66,33,6.63,26,5.22,132,26.51
15,788,465,64,13.76,40,8.6,31,6.67,135,29.03
16,765,474,58,12.24,38,8.02,34,7.17,130,27.43
17,327,239,26,10.88,16,6.69,29,12.13,71,29.71
18,153,120,21,17.5,16,13.33,14,11.67,51,42.5
19,1144,791,153,19.34,75,9.48,58,7.33,286,36.16
20,1031,603,97,16.09,60,9.95,31,5.14,188,31.18
21,411,321,49,15.26,26,8.1,37,11.53,112,34.89
22,1037,719,166,23.09,60,8.34,63,8.76,289,40.19
