okrsek,volici,platne_hlasy,SPOLU_hlasy,SPOLU_pct,Pirati_hlasy,Pirati_pct,DOHROMADY_hlasy,DOHROMADY_pct
1,504,5260,287,5.46,216,4.39,503,9.85
2,227,2305,191,8.29,17,0.79,208,9.08
3,495,4285,437,10.2,325,8.11,762,18.31
4,741,7458,525,7.04,308,4.41,833,11.45
5,864,8986,716,7.97,192,2.28,908,10.25
6,568,6543,336,5.14,292,4.77,628,9.91
7,953,7166,350,4.88,203,3.03,553,7.91
8,948,6002,385,6.41,175,3.12,560,9.53
9,706,8268,317,3.83,212,2.74,529,6.57
10,787,8507,295,3.47,473,5.94,768,9.41
11,663,6879,259,3.77,94,1.46,353,5.23
12,710,6723,247,3.67,103,1.64,350,5.31
13,846,8477,252,2.97,218,2.75,470,5.72
14,662,6825,561,8.22,499,7.82,1060,16.04
15,1489,7574,397,5.24,161,2.27,558,7.51
16,727,5132,254,4.95,76,1.58,330,6.53
17,552,6176,188,3.04,14,0.24,202,3.28
18,872,10243,815,7.96,338,3.53,1153,11.49
19,873,7351,437,5.94,78,1.13,515,7.07
20,739,4769,126,2.64,8,0.18,134,2.82
21,758,7977,262,3.28,249,3.34,511,6.62
22,876,8510,423,4.97,227,2.85,650,7.82
23,808,9603,478,4.98,348,3.87,826,8.85
24,766,7308,442,6.05,250,3.66,692,9.71
25,972,8225,313,3.81,294,3.82,607,7.63
26,712,5154,311,6.03,84,1.74,395,7.77
27,703,6038,162,2.68,282,4.99,444,7.67
28,988,7548,529,7.01,312,4.42,841,11.43
29,870,6586,355,5.39,128,2.08,483,7.47
30,1107,9270,298,3.21,456,5.26,754,8.47
