okrsek,volici,platne_hlasy,SPOLU_hlasy,SPOLU_pct,Pirati_hlasy,Pirati_pct,STAN_hlasy,STAN_pct,DOHROMADY_hlasy,DOHROMADY_pct
1,513,329,40,12.16,8,2.43,21,6.38,69,20.97
2,205,121,12,9.92,0,0.0,10,8.26,22,18.18
3,464,241,29,12.03,18,7.47,11,4.56,58,24.07
4,741,466,48,10.3,26,5.58,32,6.87,106,22.75
5,830,502,62,12.35,24,4.78,28,5.58,114,22.71
6,570,405,47,11.6,34,8.4,13,3.21,94,23.21
7,908,404,30,7.43,18,4.46,29,7.18,77,19.06
8,904,373,37,9.92,14,3.75,6,1.61,57,15.28
9,684,480,54,11.25,21,4.38,24,5.0,99,20.62
10,746,489,46,9.41,23,4.7,26,5.32,95,19.43
11,648,369,24,6.5,13,3.52,15,4.07,52,14.09
12,685,422,37,8.77,22,5.21,15,3.55,74,17.54
13,830,491,49,9.98,16,3.26,17,3.46,82,16.7
14,625,383,35,9.14,25,6.53,16,4.18,76,19.84
15,1360,457,24,5.25,24,5.25,18,3.94,66,14.44
16,700,362,20,5.52,16,4.42,19,5.25,55,15.19
17,623,407,29,7.13,19,4.67,12,2.95,60,14.74
18,863,630,102,16.19,33,5.24,32,5.08,167,26.51
19,836,500,67,13.4,23,4.6,33,6.6,123,24.6
20,715,336,19,5.65,7,2.08,11,3.27,37,11.01
21,748,454,34,7.49,22,4.85,9,1.98,65,14.32
22,899,577,62,10.75,35,6.07,23,3.99,120,20.8
23,765,512,43,8.4,32,6.25,31,6.05,106,20.7
24,760,480,27,5.62,33,6.88,23,4.79,83,17.29
25,997,589,39,6.62,31,5.26,23,3.9,93,15.79
26,681,388,31,7.99,15,3.87,15,3.87,61,15.72
27,663,424,31,7.31,16,3.77,17,4.01,64,15.09
28,952,560,45,8.04,25,4.46,25,4.46,95,16.96
29,822,493,29,5.88,18,3.65,23,4.67,70,14.2
30,1040,660,45,6.82,48,7.27,33,5.0,126,19.09
